date,event_description,location,category
1790-03-01,"Ряд поражений русских войск в Финляндии.",Финляндия,Война
1790-07-02,"Выборгское морское сражение - сражение в Выборгском заливе двух русских эскадр с шведским флотом в ходе Русско-шведской войны 1788—1790 годов.",Выборгский залив,Война
1790-07-02,"Морской бой на Роченсальмском рейде 2 - 9 июля 1790 г. - Роченсальмское сражение (в ходе русско-шведской войны 1788—1790 годов). между гребными флотами России и Швеции.","Роченсальмский рейд",Война
1790-07-19,"Разгром в Керченском морском сражении русским флотом турецкого. Это не дало возможности высадить десант турецких войск в Крыму","Керченский пролив",Война
1790-08-01,"Шведы берут реванш у Свенсксунда.",Свенсксунд,Война
1790-08-01,"Снятие русским флотом блокады турецкими войсками Дуная","р. Дунай",Война
1790-08-14,"Между Россией и Швецией подписан Верельский мирный договор.",Верель,Дипломатия
1790-09-08,"Победа русского флота над турецким при Тендре",Тендра,Война
1790-12-22,"С восходом солнца началась подготовка штурма Измаила, штурм произошел 11 декабря.",Измаил,Война
1790-01-01,"Указ Екатерины II о возвращении всех русских из Франции.","Россия/Франция",Политика
1790-01-01,"Выпуск Радищевым книги ""Путешествие из Петербурга в Москву"". Арест Радищева и приговор его к смертной казни. Замена ссылкой на 10 лет в Сибирь",Россия,"Общество/Право"
1791-08-26,"В саксонском замке Пильниц принята Пильницкая декларация, которая явилась основой австро-прусского союзного договора (февраль 1792), положившего начало коалиции европейских монархов, объединившихся для противодействия французской революции.","Замок Пильниц, Саксония","Дипломатия/Политика"
1791-09-03,"Франция. Принятие Учредительным собранием Конституция Франции 1791 года","Париж, Франция","Право/Политика"
1791-12-16,"Смерть Григория Потемкина.",,Персоналии
1792-01-09,"Русско-турецкий мирный договор в Яссах, подтверждающий условия Кючук-Кайнарджийского мира, а также признающий присоединение к России Крыма и уступающий ей Очаковскую степь.",Яссы,Дипломатия
1792-02-07,"В Берлине подписан Австро-прусский союзный договор","Берлин, Пруссия",Дипломатия
1792-04-01,"В Польше русская партия образует в Тарговицах конфедерацию: конституция 3 мая 1791 отменена, и подготовка к войне прекращена.","Тарговица, Польша","Политика/Война"
1792-05-18,"Русские войска входят в Польшу.",Польша,Война
1792-09-20,"Победа революционных войск при Вальми (см. сражение у Вальми). В тот же день открылся Национальный конвент.","Вальми, Франция","Война/Политика"
1792-12-11,"Король Франции ЛЮДОВИК XVI предстал перед судом Конвента.","Париж, Франция","Политика/Право"
1793-01-12,"Россия и Пруссия договариваются о втором разделе Польши.",,"Дипломатия/Политика"
